,2theta,amp
0,9.999,0.13991610345564617
1,10.103,0.7220569344719974
2,10.203,0.7802887251739772
3,10.297,0.7541657498260625
4,10.401,0.09044323977064583
5,10.498,0.18421282666585337
6,10.605,2.367097552759431
7,10.698,2.3455817937937464
8,10.804,1.3968524639776432
9,10.896,0.6822360482905713
10,11.0,0.5403081361093497
11,11.099,1.1953856091147501
12,11.195,0.2830100635862394
13,11.295,1.5195542470054282
14,11.4,0.16909816222794086
15,11.504,1.2445104790770638
16,11.604,0.1961632070752101
17,11.701,1.3853238047939629
18,11.798,2.111518482151512
19,11.905,1.8792431558435232
20,11.999,1.8977132852761334
21,12.103,1.0532590753020887
22,12.203,0.2536322653503074
23,12.296,2.084784631678447
24,12.403,2.2089340743406494
25,12.497,1.708292185118265
26,12.6,1.3037337644914175
27,12.704,0.17008106274775775
28,12.794,1.6001517108871308
29,12.901,2.0102323472876042
30,13.0,4.5787200759006925
31,13.101,10.151988499664755
32,13.196,20.23487839259663
33,13.301,54.69618118120891
34,13.403,21.511516110198848
35,13.5,9.154220344262667
36,13.605,2.70844939899178
37,13.699,1.067815610032389
38,13.795,1.269098212813015
39,13.904,0.46202962773827544
40,14.005,1.1424316595378448
41,14.101,1.1368063262149855
42,14.2,1.6163034936932306
43,14.299,1.2630989353780773
44,14.403,0.937887149530534
45,14.502,1.2872964894929537
46,14.599,0.41343721908321457
47,14.702,0.2156585880185331
48,14.799,0.792759432919949
49,14.902,1.3437113388707784
50,15.002,0.6398883813081094
51,15.102,0.617880422482991
52,15.203,1.9880195020367046
53,15.303,0.479978375004781
54,15.399,2.961349906439923
55,15.503,0.8503719771590864
56,15.6,2.3560701705415705
57,15.701,4.312074101175099
58,15.799,12.875911893711855
59,15.903,30.659672132807902
60,15.994,80.79368163679332
61,16.102,27.65741741051832
62,16.204,10.825006575580158
63,16.3,3.693391299060111
64,16.398,1.6879962494944845
65,16.501,1.9095475722035045
66,16.601,0.21447625078733532
67,16.704,0.35581611713058636
68,16.802,0.12492905331300662
69,16.9,2.1284668570774192
70,16.995,1.6908291055890234
71,17.1,1.2092426606193485
72,17.199,0.2442010774283909
73,17.3,1.678941166816245
74,17.4,1.618827057643039
75,17.496,0.4870081420246851
76,17.6,1.4438903094283002
77,17.699,2.3567586975736634
78,17.799,0.18096932079513475
79,17.9,0.7460109020224484
80,18.0,1.1236722395456193
81,18.104,0.7437874931412098
82,18.2,1.3199670153923455
83,18.301,0.2967580317739616
84,18.401,0.6377068332009386
85,18.501,2.987645136663654
86,18.601,10.78283577141332
87,18.696,39.86750952096729
88,18.794,127.32266846533766
89,18.902,37.04856347085234
90,19.001,9.002169751795112
91,19.101,1.1209047861844699
92,19.203,1.5347774662398423
93,19.298,2.3340477190295172
94,19.403,2.00228511898645
95,19.498,1.948467911898114
96,19.601,2.051203318992903
97,19.699,1.1986779043922837
98,19.804,2.6038343497446896
99,19.9,0.09095221586970142
100,20.002,1.769274019671065
101,20.098,1.9005980382744383
102,20.202,0.05045752384042556
103,20.297,1.0176374058506714
104,20.4,2.4920158935426024
105,20.497,2.476692839800132
106,20.597,0.8085115689753247
107,20.698,0.6782055331030583
108,20.805,2.1892156372312157
109,20.897,0.12455607479563846
110,21.0,1.5698389982827385
111,21.098,1.8709584079798418
112,21.196,1.2704097577597913
113,21.3,1.562055236606377
114,21.398,0.47445711216125475
115,21.5,1.2431571639697034
116,21.604,1.631767248586865
117,21.704,1.8273551314480163
118,21.798,2.250361751670001
119,21.897,2.1978086877273126
120,21.996,1.4451347373317907
121,22.098,1.537236979818582
122,22.205,1.2940254605867276
123,22.3,1.6008176015694655
124,22.397,2.3046797048329286
125,22.499,2.066713380018433
126,22.602,0.8403905407902913
127,22.699,0.02784153866025342
128,22.803,1.3223404800245966
129,22.902,1.1381266983299727
130,22.999,2.267744535479969
131,23.102,1.3628382818843223
132,23.201,1.7594027216961472
133,23.297,2.003290886287138
134,23.4,1.1787033842131056
135,23.5,1.6567148716185653
136,23.607,2.664411715542882
137,23.699,0.04142698594186884
138,23.802,0.16156328887637772
139,23.9,1.0809974443940857
140,23.996,0.6690299355635867
141,24.103,1.5255763343171878
142,24.202,0.05738994392796265
143,24.303,0.6035169911065342
144,24.401,1.0367443964341765
145,24.496,1.9825368213536596
146,24.6,1.1828601189397157
147,24.702,0.761237510651692
148,24.8,0.5640231554130751
149,24.901,0.5375567578812872
150,25.002,1.840637407276214
151,25.106,1.0429548337763337
152,25.204,0.3780773559047479
153,25.303,0.008962493672090592
154,25.401,0.9877539953991304
155,25.5,0.6755359851298025
156,25.598,1.1106586787910904
157,25.705,1.267212692540254
158,25.793,1.1523872936026531
159,25.901,0.4558161999218928
160,25.997,0.3427324613746561
161,26.098,1.397836917432999
162,26.199,2.744562123074606
163,26.3,1.051877653511951
164,26.404,1.579649024783358
165,26.497,0.5868435458161201
166,26.599,2.2237838886165155
167,26.704,0.8945415506380119
168,26.8,2.7937488335201976
169,26.902,2.110519746241264
170,27.005,2.5518505126320257
171,27.097,1.0010634881385647
172,27.207,1.4216907127975114
173,27.296,1.7703688185782287
174,27.4,1.7168920345499015
175,27.506,0.6133905100997235
176,27.599,1.699478782065291
177,27.702,0.46255830964559463
178,27.804,1.4339571795543258
179,27.9,1.5043544943430793
180,27.996,1.22186661543136
181,28.101,0.18617886434121272
182,28.2,1.4718541956936901
183,28.303,0.48928016257903717
184,28.401,1.9112912439652978
185,28.501,2.48337534159858
186,28.601,1.3883970712763827
187,28.7,0.6588149407494827
188,28.804,1.6688946209964055
