,2theta,amp
0,9.999,1.835881774742753
1,10.103,0.09825984651175512
2,10.193,1.148209352551155
3,10.296,2.288124888983409
4,10.401,1.505066342743139
5,10.503,2.1758056283128346
6,10.603,1.3335747042473014
7,10.702,2.161995957223463
8,10.797,1.056763493235788
9,10.901,1.0226671378018628
10,10.995,1.1670999984493764
11,11.104,0.3119084458112833
12,11.196,0.3363443827626568
13,11.299,2.119518228142086
14,11.397,0.5636840895493052
15,11.501,1.7151389949097318
16,11.6,1.1432644799684362
17,11.697,0.7789185563260618
18,11.802,1.9793161439540488
19,11.898,1.741590356953785
20,12.004,1.0073683778576266
21,12.095,2.6177107528483408
22,12.198,0.7821511449758834
23,12.295,0.5372636558458411
24,12.398,1.8290569362725013
25,12.499,1.6766792909149104
26,12.597,0.47331650124265956
27,12.702,0.0463028372611277
28,12.801,0.06228389855348324
29,12.906,1.5427673712945331
30,13.002,0.8240482941163529
31,13.094,2.6028171752052978
32,13.197,1.8731700697815354
33,13.3,0.1825324084820207
34,13.403,0.004338205640981558
35,13.505,2.267679605567576
36,13.601,2.104177235187594
37,13.704,1.6173699325272706
38,13.795,0.157772310156426
39,13.899,2.00844863914381
40,13.999,1.4821467620453692
41,14.096,1.742851034391887
42,14.201,1.782913259943777
43,14.302,0.9331645129662912
44,14.403,0.20510636885412586
45,14.503,0.4751842638078935
46,14.599,1.9579042572387435
47,14.704,1.0366587578531867
48,14.802,1.6368887927266074
49,14.897,2.0351895076549433
50,15.001,2.2251985579388847
51,15.097,0.7926049521170458
52,15.197,2.3051719597997935
53,15.3,0.3440667318247262
54,15.401,2.3786327204477384
55,15.502,1.359226281149178
56,15.596,0.2204485363944549
57,15.703,0.9636774741824888
58,15.8,0.756544631049671
59,15.895,1.7181511322070036
60,16.002,0.8543936459867775
61,16.099,0.056301564744807665
62,16.192,0.11947366784740139
63,16.301,1.9094187297191845
64,16.401,2.575275754528325
65,16.501,0.7335503575092879
66,16.597,1.0719660815969534
67,16.701,0.9738219266040729
68,16.796,1.6477387247705881
69,16.896,0.22226609777228826
70,16.999,1.8132815291360418
71,17.101,0.11543075971916314
72,17.194,1.7587223861291978
73,17.3,0.5280173784046259
74,17.402,1.6944820866923753
75,17.501,0.6306967774026112
76,17.597,0.41745213643976836
77,17.702,0.8122205598055987
78,17.802,3.2726112296009426
79,17.907,14.422124936827323
80,17.999,36.311237164073454
81,18.098,11.591660089281175
82,18.204,4.027119056658687
83,18.304,1.046910454992739
84,18.397,1.752661793236913
85,18.501,0.7707760057056802
86,18.602,1.763752442634476
87,18.701,2.6315444975284645
88,18.799,1.1382131248083431
89,18.896,1.4379960186285143
90,19.001,2.054739801178403
91,19.099,0.7639122235237945
92,19.199,0.06928585539068494
93,19.303,0.02318918053608991
94,19.397,1.7016116243216244
95,19.497,0.9056685471301824
96,19.599,0.858174010244293
97,19.702,0.2000346380961135
98,19.805,0.040616707445364046
99,19.898,2.3031973849947476
100,19.997,0.5977547223161519
101,20.1,0.7645768456312606
102,20.201,2.6680311365289913
103,20.301,1.9742855619234092
104,20.4,0.2353145653261035
105,20.503,1.361285759785227
106,20.605,1.5376663582096772
107,20.7,0.23286120325487744
108,20.805,0.21338507052217676
109,20.9,0.6669178281965453
110,21.0,2.3979148396508996
111,21.099,2.953984678329658
112,21.2,1.6814304569259357
113,21.303,2.085571443123322
114,21.402,1.5999177274198222
115,21.495,1.7108097319895668
116,21.603,1.6565439819897025
117,21.695,1.099910280053848
118,21.802,1.8589322746152104
119,21.9,2.146525284624979
120,22.004,1.9347221185960297
121,22.1,0.4223673247742674
122,22.199,1.740229008133823
123,22.302,1.0855018225338406
124,22.401,6.810451055734063
125,22.501,18.473129977874503
126,22.599,57.446464366708845
127,22.704,18.742676358083553
128,22.802,5.1060379120096915
129,22.903,0.38464527558609474
130,23.0,0.05501145969139638
131,23.096,2.055459727992353
132,23.2,0.5495131108283857
133,23.3,2.5945547800735542
134,23.403,0.612859881671745
135,23.496,0.2925797259455388
136,23.597,2.383036595553987
137,23.696,0.06904243375020065
138,23.802,0.11422773723385127
139,23.898,1.5404972883434263
140,24.001,2.2135856287536804
141,24.096,1.4545604722517236
142,24.199,0.07867620175417035
143,24.297,0.9674839696012678
144,24.397,1.759144384353508
145,24.501,0.8125999019547946
146,24.599,2.2105479335416836
147,24.699,1.1948000502633167
148,24.798,1.1603209649314774
149,24.899,1.2955619817248094
150,25.005,2.678509840453728
151,25.103,4.797450572735399
152,25.199,10.266748763899335
153,25.294,25.352616656926585
154,25.397,9.888830328197578
155,25.497,4.033011073601542
156,25.598,2.89826573578503
157,25.696,0.5427371427708285
158,25.799,1.260981343000289
159,25.895,0.32777551410142924
160,26.003,1.0949465652236257
161,26.105,1.0384875068288422
162,26.196,1.8664958517587666
163,26.301,1.270508157750787
164,26.399,2.148192399202109
165,26.501,2.0264508439311704
166,26.604,2.4033351393488442
167,26.698,1.5919996434615051
168,26.797,0.2584796790629267
169,26.9,1.4272458083227364
170,26.998,0.3684726160398964
171,27.103,1.3695190352412911
172,27.198,1.8688594918586865
173,27.304,0.7100310449633376
174,27.4,0.707870052859152
175,27.501,1.7123735854483244
176,27.6,1.6823951531259977
177,27.699,0.1746479038925858
178,27.801,0.866390813740133
179,27.898,2.129236292443729
180,27.996,0.7640757882832108
181,28.103,1.8463795768302693
182,28.2,1.514749169234009
183,28.299,1.2581556989601488
184,28.399,0.8769955994369708
185,28.5,0.017706586824273278
186,28.602,2.276581064807159
187,28.701,1.8427916057621634
188,28.805,0.6446864044772469
